       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 1   *****
 
   270   1392.000       15.704       290.772      -248.165        0.544        0.135        0.127        1.009     -501.861
   271   1392.000       15.671       250.976      -124.520        0.566        0.110        0.110        0.710     -501.861
   272   1393.000      168.173        59.288      -122.430        0.469        0.009        0.008        3.348     -502.239
   273   1393.000       22.426       278.794      -243.275        0.462        0.080        0.067        1.209     -502.239
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:40               Page    6
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   274   1393.000       12.800       291.468      -249.161        0.451        0.142        0.130        1.068     -502.239
   275   1394.000      102.670        59.105      -122.668        0.403        0.014        0.012        2.430     -502.616
   276   1394.000       14.922       279.061      -243.690        0.394        0.117        0.092        1.284     -502.616
   277   1395.000       56.041        59.251      -123.076        0.542        0.033        0.029        1.323     -502.994
   278   1395.000       11.473       277.287      -243.090        0.542        0.163        0.142        0.808     -502.994
   279   1395.000       11.373       268.254      -257.402        0.531        0.176        0.160        1.068     -502.994
   280   1396.000       23.382       267.702      -257.253        0.589        0.091        0.081        1.495     -503.372
   281   1396.000       20.417        59.443      -123.467        0.585        0.120        0.091        1.016     -503.372
   282   1397.000       36.616       266.536      -256.549        0.514        0.060        0.044        1.453     -503.749
   283   1397.000       12.290       257.104      -251.964        0.531        0.113        0.140        1.298     -503.749
   284   1398.000       52.226       264.551      -256.290        0.441        0.044        0.029        1.529     -504.127
   285   1398.000       11.513       256.743      -248.615        0.452        0.120        0.148        1.923     -504.127
   286   1399.000       71.062       262.310      -255.914        0.443        0.032        0.022        2.700     -504.504
   287   1400.000       89.021       260.360      -255.457        0.449        0.023        0.018        1.972     -504.882
   288   1400.000       11.969       254.578      -246.667        0.462        0.168        0.095        1.545     -504.882
   289   1401.000       98.665       258.918      -255.211        0.499        0.021        0.019        2.502     -505.260
